name,    freq,    aij,    eij,    gi
CO(4-3),    461.04077,    6.1259998e-06,    55.320000,    9
C(1-0),    492.16064,    7.8799999e-08,    23.620001,    3
13CO(5-4),    550.92627,    1.0670000e-05,    79.330002,    11
CO(5-4),    576.26794,    1.2210000e-05,    82.970001,    11
13CO(6-5),    661.06726,    1.8680001e-05,    111.05000,    13
CO(6-5),    691.47308,    2.1370000e-05,    116.16000,    13
13CO(7-6),    771.18414,    2.9909999e-05,    148.06000,    15
CO(7-6),    806.65179,    3.4220000e-05,    154.87000,    15
C(2-1),    809.34198,    2.6500001e-07,    62.462002,    5
13CO(8-7),    881.27283,    4.4870001e-05,    190.36000,    17
CO(8-7),    921.79968,    5.1340001e-05,    199.11000,    17
13CO(9-8),    991.32928,    6.4059997e-05,    237.92999,    19
CO(9-8),    1036.9124,    7.3299998e-05,    248.88000,    19
13CO(10-9),    1101.3496,    8.7970002e-05,    290.79001,    21
CO(10-9),    1151.9855,    0.00010060000,    304.16000,    21
13CO(11-10),    1211.3297,    0.00011700000,    348.92001,    23
CO(11-10),    1267.0145,    0.00013390000,    364.97000,    23
13CO(12-11),    1321.2655,    0.00015170001,    412.32999,    25
CO(12-11),    1381.9951,    0.00017350000,    431.29001,    25
13CO(13-12),    1431.1531,    0.00019240000,    481.01999,    27
NII(1-0),    1462.0000,    2.0699999e-06,    70.149185,    0
CO(13-12),    1496.9229,    0.00022000000,    503.13000,    27
13CO(14-13),    1540.9883,    0.00023950000,    554.96997,    29
